time	V(n004)
Step Information: Wyp=100m  (Run: 1/9)
8.467224641909485e-004	2.554060e+000
8.467836986938794e-004	2.553967e+000
8.468034016694883e-004	2.553937e+000
8.468201890422030e-004	2.553912e+000
8.468255689130709e-004	2.553904e+000
8.468301226691102e-004	2.553897e+000
8.468315984389360e-004	2.553895e+000
8.468328262527009e-004	2.553893e+000
8.468332393780744e-004	2.553892e+000
8.468335657934700e-004	2.553892e+000
8.468336883650660e-004	2.553891e+000
8.468337743545225e-004	2.553891e+000
8.468338146722518e-004	2.553891e+000
8.468338396539432e-004	2.553891e+000
8.468338574651857e-004	2.553891e+000
8.468338803285705e-004	2.553891e+000
8.468338935404076e-004	2.553891e+000
8.468339145254292e-004	2.553891e+000
8.468340027559327e-004	2.553891e+000
8.998875140607440e-004	2.473507e+000
9.004475304791633e-004	2.472659e+000
9.004496932469647e-004	2.472655e+000
9.004503300821955e-004	2.472654e+000
9.004508569126192e-004	2.472653e+000
9.010123734533199e-004	2.471846e+000
9.119237638906834e-004	2.473124e+000
9.122609673790792e-004	2.473676e+000
9.125191995388714e-004	2.474124e+000
9.127946471759831e-004	2.474617e+000
9.128349314974318e-004	2.474690e+000
9.128350888580625e-004	2.474690e+000
9.133858267716551e-004	2.475691e+000
9.250763858044900e-004	2.490685e+000
9.367898226436514e-004	2.493679e+000
9.602166963219741e-004	2.482536e+000
9.611272274103717e-004	2.481539e+000
9.611341234157006e-004	2.481529e+000
9.611430582231778e-004	2.481515e+000
9.611459191968441e-004	2.481511e+000
9.611476150854048e-004	2.481508e+000
9.611484042583903e-004	2.481507e+000
9.611488219368736e-004	2.481506e+000
9.611490438099009e-004	2.481506e+000
9.611491736039450e-004	2.481506e+000
9.611492605414897e-004	2.481505e+000
9.611493313487973e-004	2.481505e+000
9.611494059530070e-004	2.481505e+000
9.611494804971420e-004	2.481505e+000
1.012373453318337e-003	2.403893e+000
1.012932418447761e-003	2.403046e+000
1.012935357517956e-003	2.403042e+000
1.012936292224815e-003	2.403040e+000
1.012937063615513e-003	2.403039e+000
1.013498312710913e-003	2.402232e+000
1.024746906636672e-003	2.404168e+000
1.024910387732176e-003	2.404453e+000
1.025128362526182e-003	2.404842e+000
1.025435816441238e-003	2.405400e+000
1.025436667905277e-003	2.405402e+000
1.025875853047823e-003	2.406204e+000
1.037030689078890e-003	2.421037e+000
1.048190974468057e-003	2.425157e+000
1.070511545246391e-003	2.417502e+000
1.072935008764695e-003	2.415141e+000
1.073970698995283e-003	2.413673e+000
1.074192642881886e-003	2.413345e+000
1.074288140320584e-003	2.413201e+000
1.074325015431744e-003	2.413146e+000
1.074346865251008e-003	2.413112e+000
1.074357340665602e-003	2.413097e+000
1.074364266386197e-003	2.413086e+000
1.074367482972934e-003	2.413081e+000
1.074369751561919e-003	2.413078e+000
1.074370731995305e-003	2.413076e+000
1.074371461199021e-003	2.413075e+000
1.074371759203281e-003	2.413075e+000
1.074371979171610e-003	2.413074e+000
1.074372073476429e-003	2.413074e+000
1.074372136219826e-003	2.413074e+000
1.074372168455048e-003	2.413074e+000
1.074372188271392e-003	2.413074e+000
1.074372211278065e-003	2.413074e+000
1.074372230167741e-003	2.413074e+000
1.074372250777497e-003	2.413074e+000
1.074372273840757e-003	2.413074e+000
1.124859392575930e-003	2.336579e+000
1.125419408994217e-003	2.335730e+000
1.125421571762031e-003	2.335727e+000
1.125422208597276e-003	2.335726e+000
1.125422735427718e-003	2.335725e+000
1.125984251968506e-003	2.334918e+000
1.130959247279457e-003	2.331759e+000
1.132238340797781e-003	2.331992e+000
1.137232845894265e-003	2.336955e+000
1.137488669478808e-003	2.337407e+000
1.137761547968987e-003	2.337905e+000
1.137811948306483e-003	2.337998e+000
1.137812145182802e-003	2.337999e+000
1.138357705286841e-003	2.339010e+000
1.148659534271009e-003	2.353444e+000
1.158981523390176e-003	2.358923e+000
1.179625501628508e-003	2.355973e+000
1.183481054287060e-003	2.352997e+000
1.186125449742368e-003	2.349716e+000
1.186982201368540e-003	2.348540e+000
1.187626935238740e-003	2.347608e+000
1.187863036103259e-003	2.347259e+000
1.188055961056534e-003	2.346971e+000
1.188122556660823e-003	2.346871e+000
1.188179226781287e-003	2.346785e+000
1.188197675498513e-003	2.346757e+000
1.188213455273940e-003	2.346733e+000
1.188218507219598e-003	2.346726e+000
1.188222787491820e-003	2.346719e+000
1.188224174940885e-003	2.346717e+000
1.188225326377069e-003	2.346715e+000
1.188225716241522e-003	2.346715e+000
1.188226021699316e-003	2.346714e+000
1.188226138468838e-003	2.346714e+000
1.188226219194967e-003	2.346714e+000
1.188226257987380e-003	2.346714e+000
1.188226281891213e-003	2.346714e+000
1.188226302138481e-003	2.346714e+000
1.188226325082460e-003	2.346714e+000
1.188226342900383e-003	2.346714e+000
1.188226364450980e-003	2.346714e+000
1.237345331833523e-003	2.272291e+000
1.237812820632027e-003	2.271583e+000
1.237907647152259e-003	2.271439e+000
1.237933585574818e-003	2.271400e+000
1.237954858921870e-003	2.271368e+000
1.238470191226099e-003	2.270628e+000
1.249718785151858e-003	2.272723e+000
1.249817803057278e-003	2.272898e+000
1.250015838868117e-003	2.273255e+000
1.250411910489794e-003	2.273980e+000
1.250418656334398e-003	2.273993e+000
